FID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,POINT_X,POINT_Y
59,MABE,Mary McLeod Bethune Council House National Historic Site,9/21/2006 0:00:00,DC,NC,2733422,National Historic Site,Lands,Mary McLeod Bethune Council House,-77.030965132000006,38.908183321000003
60,FOTH,Ford's Theatre National Historic Site,9/21/2006 0:00:00,DC,NC,530748,National Historic Site,Lands,Ford's Theatre,-77.025659743999995,38.896662263000003
61,BRVB,Brown v. Board of Education National Historic Site,11/1/2006 0:00:00,KS,MW,2510335,National Historic Site,Lands,Brown V Board Of Education,-95.676407619000003,39.037932613999999
62,PISP,Pipe Spring National Monument,12/7/2006 0:00:00,AZ,IM,9526,National Monument,Lands,Pipe Spring,-112.739856681000006,36.862826662000003
63,ELMO,El Morro National Monument,12/11/2006 0:00:00,NM,IM,906062,National Monument,Lands,El Morro,-108.346398394999994,35.038959161000001
64,ANJO,Andrew Johnson National Historic Site,1/24/2007 0:00:00,TN,SE,1304837,National Historic Site,Lands,Andrew Johnson,-82.838140491999994,36.155363041000001
65,SAPA,Saint Paul's Church National Historic Site,2/9/2007 0:00:00,NY,NE,1888959,National Historic Site,Lands,Saint Paul's Church,-73.825772764999996,40.892835116000001
66,CACL,Castle Clinton National Monument,2/16/2007 0:00:00,NY,NE,945983,National Monument,Lands,Castle Clinton,-74.016805579999996,40.703477950000000
67,FOBU,Fossil Butte National Monument,2/22/2007 0:00:00,WY,IM,1605065,National Monument,Lands,Fossil Butte,-110.762475445000007,41.856352229999999
68,HOVE,Hovenweep National Monument,4/6/2007 0:00:00,UT,IM,202599,National Monument,Lands,Hovenweep,-109.072990099999998,37.385360149000000
69,FOUN,Fort Union National Monument,5/15/2007 0:00:00,NM,IM,889156,National Monument,Lands,Fort Union,-105.012017353999994,35.907371144999999
70,ABLI,Abraham Lincoln Birthplace National Historical Park,10/3/2007 0:00:00,KY,SE,496556,National Historical Park,Lands,Abraham Lincoln Birthplace,-85.644420687999997,37.611975893000000
71,DRTO,Dry Tortugas National Park,11/7/2007 0:00:00,FL,SE,307632,National Park,Lands,Dry Tortugas,-82.871783489999999,24.648851160000000
72,FOFR,Fort Frederica National Monument,12/5/2007 0:00:00,GA,SE,314290,National Monument,Lands,Fort Frederica,-81.389842563000002,31.223555139999998
73,MANZ,Manzanar National Historic Site,3/4/2008 0:00:00,CA,PW,1804731,National Historic Site,Lands,Manzanar,-118.154717700000006,36.725591952999999
74,BRCA,Bryce Canyon National Park,3/27/2008 0:00:00,UT,IM,1450197,National Park,Lands,Bryce Canyon,-112.182668887000005,37.583991437999998
75,JODR,"John D. Rockefeller, Jr., Memorial Parkway",4/14/2008 0:00:00,WY,IM,1604577,National Parkway,Lands,John D Rockefeller Jr,-110.728039569000003,44.088713474000002
76,EDIS,Thomas Edison National Historical Park,4/22/2008 0:00:00,NJ,NE,874901,National Historical Park,Lands,Thomas Edison,-74.239820971000000,40.785970757999998
77,YELL,Yellowstone National Park,4/23/2008 0:00:00,WY,IM,1609331,National Park,Lands,Yellowstone,-110.547169509000000,44.598244170999997
78,HUTR,Hubbell Trading Post National Historic Site,5/13/2008 0:00:00,AZ,IM,6092,National Historic Site,Lands,Hubbell Trading Post,-109.559951538999997,35.707273245000003
79,CHAM,Chamizal National Memorial,5/20/2008 0:00:00,TX,IM,1888906,National Memorial,Lands,Chamizal,-106.454401121000004,31.767296338000001
80,PUHE,Pu'ukohola Heiau National Historic Site,6/18/2008 0:00:00,HI,PW,1877550,National Historic Site,Lands,Puukohola Heiau,-155.821162934999990,20.027721862000000
81,ULSG,Ulysses S. Grant National Historic Site,7/1/2008 0:00:00,MO,MW,2733425,National Historic Site,Lands,Ulysses S Grant,-90.351692549999996,38.551823738000003
82,CANA,Canaveral National Seashore,7/30/2008 0:00:00,FL,SE,307730,National Seashore,Lands,Canaveral,-80.754167987000002,28.786347743000000
83,AFBG,African Burial Ground National Monument,8/19/2008 0:00:00,NY,NE,2060434,National Monument,Lands,African Burial Ground,-74.004328912999995,40.714549478999999
84,CABR,Cabrillo National Monument,8/28/2008 0:00:00,CA,PW,255957,National Monument,Lands,Cabrillo,-117.241598546999995,32.672250300999998
85,CLBA,Clara Barton National Historic Site,11/17/2008 0:00:00,MD,NC,2733426,National Historic Site,Lands,Clara Barton,-77.140096892000003,38.967628820000002
86,FOWA,Fort Washington Park,11/17/2008 0:00:00,MD,NC,597426,Other Designation,Lands,Fort Washington,-77.028750861999995,38.712176974999998
87,SEQU,Sequoia National Park,11/26/2008 0:00:00,CA,PW,266000,National Park,Lands,Sequoia,-118.575201100000001,36.507852821999997
88,KALA,Kalaupapa National Historical Park,1/15/2009 0:00:00,HI,PW,365030,National Historical Park,Lands,Kalaupapa,-156.924649828000014,21.154642233000001
89,TUAI,Tuskegee Airmen National Historic Site,2/3/2009 0:00:00,AL,SE,2492338,National Historic Site,Lands,Tuskegee Airmen,-85.679833212000005,32.455386716000000
90,SARI,Salt River Bay National Historical Park and Ecological Preserve,3/5/2009 0:00:00,VI,SE,1993989,National Historical Park,Lands,Salt River Bay,-64.755193477000006,17.779086022000001
91,NATC,Natchez National Historical Park,3/24/2009 0:00:00,MS,SE,1888946,National Historical Park,Lands,Natchez,-91.382449768000001,31.543019516000001
92,EDAL,Edgar Allan Poe National Historic Site,3/17/2009 0:00:00,PA,NE,1888911,National Historic Site,Lands,Edgar Allan Poe,-75.150006196999996,39.961954818000002
93,BOAF,Boston African American National Historic Site,3/12/2009 0:00:00,MA,NE,1888904,National Historic Site,Lands,Boston African American,-71.070640433999998,42.357895626999998
94,MACA,Mammoth Cave National Park,3/27/2009 0:00:00,KY,SE,507318,National Park,Lands,Mammoth Cave,-86.130901981999997,37.197604577000000
95,EUON,Eugene O'Neill National Historic Site,5/14/2009 0:00:00,CA,PW,1888915,National Historic Site,Lands,Eugene O'Neill,-122.027156638999998,37.826044564000000
96,ADAM,Adams National Historical Park,6/5/2009 0:00:00,MA,NE,1888899,National Historical Park,Lands,Adams,-71.012549394999994,42.256594151999998
97,NAVA,Navajo National Monument,7/13/2009 0:00:00,AZ,IM,8538,National Monument,Lands,Navajo,-110.536256490000000,36.685491265000003
98,THST,Thomas Stone National Historic Site,7/28/2009 0:00:00,MD,NE,1888967,National Historic Site,Lands,Thomas Stone,-77.037813000000000,38.529344432999999
99,CARI,Cane River Creole National Historical Park,7/28/2009 0:00:00,LA,SE,2733428,National Historical Park,Lands,Cane River Creole,-93.007298723999995,31.664441737000001
100,GRBA,Great Basin National Park,9/10/2009 0:00:00,NV,PW,862430,National Park,Lands,Great Basin,-114.257978174000002,38.946173782999999
101,GRPO,Grand Portage National Monument,12/14/2009 0:00:00,MI,MW,644333,National Monument,Lands,Grand Portage,-89.760688497000004,47.999682008999997
102,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,1/6/2010 0:00:00,CA,PW,277264,National Recreation Area,Lands,Whiskeytown,-122.602265716999995,40.613599405000002
