FID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,POINT_X,POINT_Y
187,VICR,Virgin Islands Coral Reef National Monument,4/4/2013 0:00:00,VI,SE,2733450,National Monument,Lands,Virgin Islands Coral Reef,-64.707939933000006,18.273510824999999
188,MABI,Marsh-Billings-Rockefeller National Historical Park,9/21/2011 0:00:00,VT,NE,1888942,National Historical Park,Lands,Marsh - Billings - Rockefeller,-72.538238589000002,43.633822573000003
189,LIRI,Little River Canyon National Preserve,4/29/2013 0:00:00,AL,SE,1888939,National Preserve,Lands,Little River Canyon,-85.597246420999994,34.451917698999999
190,CHYO,Charles Young Buffalo Soldiers National Monument,6/3/2013 0:00:00,OH,MW,2736075,National Monument,Lands,Charles Young Buffalo Soldiers,-83.894601389000002,39.708005544000002
191,DAAV,Dayton Aviation Heritage National Historical Park,5/30/2013 0:00:00,OH,MW,1083940,National Historical Park,Lands,Dayton Aviation Heritage,-84.064421784000004,39.803967593000003
192,EISE,Eisenhower National Historic Site,7/8/2013 0:00:00,PA,NE,1888912,National Historic Site,Lands,Eisenhower,-77.265080914999999,39.795775611000003
193,CECH,Cesar E. Chavez National Monument,2/5/2013 0:00:00,CA,PW,2754548,National Monument,Lands,César E. Chávez,-118.561578093999998,35.227293891000002
194,FONE,Fort Necessity National Battlefield,9/24/2013 0:00:00,PA,NE,1193713,National Battlefield,Lands,Fort Necessity,-79.588690799999995,39.810037895999997
195,MIMI,Minuteman Missile National Historic Site,12/18/2013 0:00:00,SD,MW,2733442,National Historic Site,Lands,Minuteman Missile,-101.900432753999993,43.844576668999999
196,SAPU,Salinas Pueblo Missions National Monument,11/27/2013 0:00:00,NM,IM,936877,National Monument,Lands,Salinas Pueblo Missions,-106.089799671999998,34.259423976000001
197,PINN,Pinnacles National Park,2/5/2014 0:00:00,CA,PW,247533,National Park,Lands,Pinnacles,-121.180995254999999,36.490237835999999
198,FOMC,Fort McHenry National Monument and Historic Shrine,1/13/2012 0:00:00,MD,NE,595218,National Monument and Historic Shrine,Lands,Fort McHenry,-76.580441649999997,39.263953137000001
199,SAIR,Saugus Iron Works National Historic Site,6/9/2014 0:00:00,MA,NE,600017,National Historic Site,Lands,Saugus Iron Works,-71.007653403000006,42.468310602000003
200,ROWI,Roger Williams National Memorial,9/30/2011 0:00:00,RI,NE,1904107,National Memorial,Lands,Roger Williams,-71.410566653999993,41.829895506000000
201,CAGR,Casa Grande Ruins National Monument,6/27/2014 0:00:00,AZ,IM,44811,National Monument,Lands,Casa Grande Ruins,-111.532538332000001,32.997025821999998
202,CHRI,Christiansted National Historic Site,6/19/2014 0:00:00,VI,SE,1993781,National Historic Site,Lands,Christiansted,-64.739965341000001,17.734055723000001
203,ALPO,Allegheny Portage Railroad National Historic Site,8/4/2014 0:00:00,PA,NE,1214216,National Historic Site,Lands,Allegheny Portage Railroad,-78.531860930999997,40.446771384999998
204,DESO,De Soto National Memorial,8/7/2014 0:00:00,FL,SE,294586,National Memorial,Lands,De Soto,-82.643354158999998,27.522726130999999
205,ANDE,Andersonville National Historic Site,8/19/2014 0:00:00,GA,SE,310534,National Historic Site,Lands,Andersonville,-84.129890059000004,32.198303627000001
206,OCMU,Ocmulgee National Monument,10/21/2014 0:00:00,GA,SE,1888951,National Monument,Lands,Ocmulgee,-83.596759844000005,32.839738343000000
207,COWP,Cowpens National Battlefield,9/17/2014 0:00:00,SC,SE,1247412,National Battlefield,Lands,Cowpens,-81.809354327999998,35.131606542999997
208,CHIR,Chiricahua National Monument,9/10/2014 0:00:00,AZ,IM,2877,National Monument,Lands,Chiricahua,-109.341606970000001,32.012146180000002
209,MALU,"Martin Luther King, Jr., National Historic Site",11/19/2014 0:00:00,GA,SE,1704967,National Historic Site,Lands,Martin Luther King Jr.,-84.371693303000001,33.754920077000001
210,WAPA,War in the Pacific,2/4/2015 0:00:00,GU,PW,1828962,National Historical Park,Lands,War in the Pacific,144.655114058999999,13.390011032000000
211,DETO,Devils Tower National Monument,12/8/2014 0:00:00,WY,IM,2733421,National Monument,Lands,Devils Tower,-104.715634132000005,44.590646554999999
212,BOST,Boston National Historical Park,2/9/2015 0:00:00,MA,NE,600140,National Historical Park,Lands,Boston,-71.055749200999998,42.373377572999999
213,ORCA,Oregon Caves National Monument and Preserve,2/26/2015 0:00:00,OR,PW,1147260,National Monument,Lands,Oregon Caves,-123.401642061000004,42.103139366999997
214,GEGR,General Grant National Memorial,7/22/2013 0:00:00,NY,NE,2733424,National Memorial,Lands,General Grant,-73.963075673000006,40.813434356999998
215,GOGA,Golden Gate National Recreation Area,4/20/2015 0:00:00,CA,PW,255952,National Recreation Area,Lands,Golden Gate,-122.551127976999993,37.858882145999999
216,POCH,Port Chicago Naval Magazine National Memorial,4/21/2015 0:00:00,CA,PW,1967105,National Memorial,Lands,Port Chicago Naval Magazine,-122.030160269999996,38.056854715999997
217,JODA,John Day Fossil Beds National Monument,7/8/2015 0:00:00,OR,PW,1133439,National Monument,Lands,John Day Fossil Beds,-119.634318411999999,44.543153994000001
218,FRST,First State National Historical Park,6/18/2015 0:00:00,DE,NE,2756166,National Historical Park,Lands,First State,-75.563624872000005,39.831845952000002
219,GUCO,Guilford Courthouse National Military Park,6/17/2015 0:00:00,NC,SE,986193,National Military Park,Lands,Guilford Courthouse,-79.841868128000002,36.133017850999998
220,PAGR,Paterson Great Falls National Historical Park,5/11/2015 0:00:00,NJ,NE,2053533,National Historical Park,Lands,Paterson Great Falls,-74.180225281999995,40.915897866999998
221,WEFA,Weir Farm National Historic Site,8/27/2015 0:00:00,CT,NE,1888972,National Historic Site,Lands,Weir Farm,-73.456487172999999,41.256758195000003
222,THRI,Theodore Roosevelt Inaugural National Historic Site,8/28/2015 0:00:00,NY,NE,2035603,National Historic Site,Lands,Theodore Roosevelt Inaugural,-78.872484107999995,42.901467809000003
223,LAVO,Lassen Volcanic National Park,8/19/2015 0:00:00,CA,PW,262325,National Park,Lands,Lassen Volcanic,-121.407200607999997,40.493829147000000
224,HONO,Honouliuli National Historic Site,8/13/2015 0:00:00,HI,PW,2767391,National Historic Site,Lands,Honouliuli,-158.057499068999988,21.388175365999999
225,FODO,Fort Donelson National Battlefield,7/27/2015 0:00:00,TN,SE,1284664,National Battlefield,Lands,Fort Donelson,-87.860883013000006,36.487282446999998
226,VAMA,Vanderbilt Mansion National Historic Site,7/24/2015 0:00:00,NY,NE,968452,National Historic Site,Lands,Vanderbilt Mansion,-73.941945661999995,41.796607731999998
227,JICA,Jimmy Carter National Historic Site,8/3/2015 0:00:00,GA,SE,1888934,National Historic Site,Lands,Jimmy Carter,-84.432408031999998,32.026317935000002
228,SAJH,San Juan Island National Historical Park,7/24/2015 0:00:00,WA,PW,1534055,National Historical Park,Lands,San Juan Island,-123.004980047000004,48.462114554999999
229,GATE,Gateway National Recreation Area,12/31/2015 0:00:00,NY,NE,882894,National Recreation Area,Lands,Gateway,-73.861449393000001,40.602785855999997
230,UPDE,Upper Delaware Scenic and Recreational River,12/22/2015 0:00:00,PA,NE,1888970,Scenic and Recreational River,Lands,Upper Delaware,-75.009714817000003,41.516960427000001
231,MIIN,Minidoka National Historic Site,10/15/2015 0:00:00,WA,PW,2766708,National Historic Site,Lands,Minidoka,-114.247375238999993,42.681043064999997
232,BIHO,Big Hole National Battlefield,11/6/2015 0:00:00,MT,PW,779820,National Battlefield,Lands,Big Hole,-113.645844315999994,45.646473241000002
233,CACH,Canyon de Chelly National Monument,12/14/2010 0:00:00,AZ,IM,44981,National Monument,Lands,Canyon de Chelly,-109.340067304000002,36.094055402000002
234,CACO,Cape Cod National Seashore,3/24/2016 0:00:00,MA,NE,606900,National Seashore,Lands,Cape Cod,-70.005194298000006,41.960470295999997
235,MAPR,Manhattan Project National Historical Park,3/16/2016 0:00:00,NM,IM,2775864,National Historical Park,Lands,Manhattan Project,-84.393330387000006,35.935395485000001
236,MORA,Mount Rainier National Park,11/17/2015 0:00:00,WA,PW,1528416,National Park,Lands,Mount Rainier,-121.704388309999999,46.860766196000000
237,LIBO,Lincoln Boyhood National Memorial,3/3/2016 0:00:00,IN,MW,446882,National Memorial,Lands,Lincoln Boyhood,-86.996568612999994,38.118170044999999
238,FRLA,Frederick Law Olmsted National Historic Site,3/1/2016 0:00:00,MA,NE,1971618,National Historic Site,Lands,Frederick Law Olmsted,-71.132067711000005,42.324271516000003
239,CAMO,Castle Mountains National Monument,3/1/2016 0:00:00,CA,PW,2775863,National Monument,Lands,Castle Mountain,-115.125898620000001,35.228331351999998
240,GEWA,George Washington Birthplace National Monument,3/28/2016 0:00:00,VA,NE,1467038,National Monument,Lands,George Washington Birthplace,-76.920792442000007,38.193630614000000
241,HAGR,Hamilton Grange National Memorial,3/28/2016 0:00:00,NY,NE,2083660,National Memorial,Lands,Hamilton Grange,-73.947291215999996,40.821351585999999
242,HAMP,Hampton National Historic Site,1/26/2016 0:00:00,MD,NE,584846,National Historic Site,Lands,Hampton,-76.588225605999995,39.416577762000003
243,WACO,Waco Mammoth National Monument,2/12/2016 0:00:00,TX,IM,2775865,National Monument,Lands,Waco Mammoth,-97.176061431999997,31.604658872000002
244,GLCA,Glen Canyon National Recreation Area,10/4/2018 0:00:00,UT,IM,23865,National Recreation Area,Lands,Glen Canyon,-110.802127514000006,37.398020737000003
245,YOSE,Yosemite National Park,1/27/2016 0:00:00,CA,PW,255923,National Park,Lands,Yosemite,-119.557187279000004,37.848832883999997
246,TAPR,Tallgrass Prairie National Preserve,1/14/2016 0:00:00,KS,MW,1888965,National Preserve,Lands,Tallgrass Prairie,-96.573815857000000,38.451344818999999
247,TUIN,Tuskegee Institute National Historic Site,1/14/2016 0:00:00,AL,SE,158362,National Historic Site,Lands,Tuskegee Institute,-85.704412805999993,32.429597590000000
248,FOCA,Fort Caroline National Memorial,6/7/2016 0:00:00,FL,SE,282677,National Memorial,Lands,Fort Caroline,-81.500272740000000,30.384605503000000
249,SACR,Saint Croix Island International Historic Site,6/20/2016 0:00:00,ME,NE,581971,International Historic Site,Lands,Saint Croix Island,-67.133636506000002,45.128588381000000
250,LOSA,Lower Saint Croix National Scenic Riverway,5/10/2016 0:00:00,WI,MW,2738286,National Scenic Riverway,Lands,Lower Saint Croix,-92.704459768999996,45.344902447999999
251,STLI,Statue Of Liberty National Monument,5/6/2016 0:00:00,NY,NE,880864,National Monument,Lands,Statue Of Liberty,-74.041132044999998,40.698318112999999
252,BAND,Bandelier National Monument,4/26/2016 0:00:00,NM,IM,928874,National Monument,Lands,Bandelier,-106.305434430999995,35.757606568999996
253,WICA,Wind Cave National Park,4/19/2016 0:00:00,SD,MW,1263056,National Park,Lands,Wind Cave,-103.439156397000005,43.580142401000003
254,NATR,Natchez Trace Parkway,4/12/2016 0:00:00,MS,SE,123648,Parkway,Lands,Natchez Trace,-88.795443964000000,34.186413139000003
255,COLM,Colorado National Monument,4/1/2016 0:00:00,CO,IM,202252,National Monument,Lands,Colorado,-108.692070926000000,39.050450163000001
256,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,9/30/2016 0:00:00,VA,NE,1488838,National Military Park,Lands,Fredericksburg & Spotsylvania,-77.738766804999997,38.303640793000000
257,RICH,Richmond National Battlefield Park,9/30/2016 0:00:00,VA,NE,1473199,National Battlefield Park,Lands,Richmond,-77.281975150999997,37.578089532000000
258,PULL,Pullman National Monument,9/12/2016 0:00:00,IL,MW,2766905,National Monument,Lands,Pullman,-87.608797693000000,41.694291292999999
259,PAAV,Pennsylvania Avenue National Historic Site,9/13/2016 0:00:00,DC,NC,2733439,National Historic Site,Lands,Pennsylvania Avenue,-77.017756094999996,38.892818491000000
260,WWIM,World War I Memorial,9/13/2016 0:00:00,DC,NC,531319,National Memorial,Lands,World War I,-77.032860404999994,38.895932747000003
261,BEPA,Belmont-Paul Women's Equality National Monument,9/13/2016 0:00:00,DC,NC,2781517,National Monument,Lands,Belmont-Paul Women's Equality,-77.003860751000005,38.892323451000003
262,NOCA,North Cascades National Park,9/26/2016 0:00:00,WA,PW,1528421,National Park,Lands,North Cascades,-121.346473106000005,48.833291717999998
263,STON,Stonewall National Monument,9/7/2016 0:00:00,NY,NE,2781516,National Monument,Lands,Stonewall,-74.000998171000006,40.733389055000004
264,NPSA,National Park of American Samoa,5/25/2016 0:00:00,AS,PW,1966567,National Park,Lands,National Park of American Samoa,-169.452788712999990,-14.236873427000001
265,VOYA,Voyageurs National Park,8/15/2016 0:00:00,MN,MW,660491,National Park,Lands,Voyageurs,-92.837398573000002,48.483431263000000
266,HAFE,Harpers Ferry National Historical Park,8/5/2016 0:00:00,WV,NC,1556735,National Historical Park,Lands,Harpers Ferry,-77.741955360000006,39.312861847999997
267,CONG,Congaree National Park,2/6/2017 0:00:00,SC,SE,2035095,National Park,Lands,Congaree,-80.748678053999996,33.791875230000002
268,FEHA,Federal Hall National Memorial,3/30/2017 0:00:00,NY,NE,2057537,National Memorial,Lands,Federal Hall,-74.010259872999995,40.707314662999998
269,FRDO,Frederick Douglass National Historic Site,3/21/2017 0:00:00,DC,NC,2733423,National Historic Site,Lands,Frederick Douglass,-76.985079190999997,38.862976840999998
270,FOSM,Fort Smith National Historic Site,3/14/2017 0:00:00,AR,MW,56686,National Historic Site,Lands,Fort Smith,-94.431271730000006,35.388323556000003
271,HALE,Haleakala National Park,1/26/2017 0:00:00,HI,PW,358382,National Park,Lands,Haleakala,-156.148571328999992,20.707285516999999
272,ELMA,El Malpais National Monument,1/20/2017 0:00:00,NM,IM,1888913,National Monument,Lands,El Malpais,-107.891072957000006,34.916052479000001
273,LECL,Lewis and Clark National Historic Trail,1/13/2017 0:00:00,NE,MW,2733427,National Historic Trail,Lands,Lewis and Clark,-95.832534249999995,40.664144729999997
274,LACH,Lake Chelan National Recreation Area,1/6/2017 0:00:00,WA,PW,1528425,National Recreation Area,Lands,Lake Chelan,-120.683741569000006,48.353901282000002
275,CARL,Carl Sandburg Home National Historic Site,11/10/2016 0:00:00,NC,SE,1006677,National Historic Site,Lands,Carl Sandburg Home,-82.450966498000000,35.268243402000003
276,HATU,Harriet Tubman Underground Railroad National Historical Park,6/30/2017 0:00:00,MD,NE,2783291,National Historical Park,Lands,Harriet Tubman Underground Railroad,-76.073332566999994,38.440614240000002
277,LYJO,Lyndon B. Johnson National Historical Park,6/23/2017 0:00:00,TX,IM,1888941,National Historical Park,Lands,Lyndon B Johnson,-98.615157933000006,30.241978786000001
278,CAVE,Carlsbad Caverns National Park,6/22/2017 0:00:00,NM,IM,904780,National Park,Lands,Carlsbad Caverns,-104.553112037999995,32.140946296999999
279,AZRU,Aztec Ruins National Monument,6/22/2017 0:00:00,NM,IM,885961,National Monument,Lands,Aztec Ruins,-107.999924475000000,36.836822157000000
280,ZION,Zion National Park,6/22/2017 0:00:00,UT,IM,1455157,National Park,Lands,Zion,-113.026513777999995,37.298392546000002
281,LIHO,Lincoln Home National Historic Site,6/6/2017 0:00:00,IL,MW,1821086,National Historic Site,Lands,Lincoln Home,-89.645133969000000,39.797156420000000
282,CRMP,Craters of the Moon National Preserve,5/31/2017 0:00:00,ID,PW,1986829,National Preserve,Lands,Craters of the Moon,-113.483002687999999,43.152802694000002
283,CRMO,Craters of the Moon National Monument,5/31/2017 0:00:00,ID,PW,1986829,National Monument,Lands,Craters of the Moon,-113.534436283000005,43.423063421999998
284,WHSA,White Sands National Park,5/25/2017 0:00:00,NM,IM,914261,National Park,Lands,White Sands,-106.335026475999996,32.779163289000003
285,PECO,Pecos National Historical Park,5/24/2017 0:00:00,NM,IM,937161,National Historical Park,Lands,Pecos,-105.674894874000003,35.538121255000000
286,ORPI,Organ Pipe Cactus National Monument,5/12/2017 0:00:00,AZ,IM,15492,National Monument,Lands,Organ Pipe Cactus,-112.857331363000000,32.035855433000002
287,CURE,Curecanti National Recreation Area,5/25/2017 0:00:00,CO,IM,196412,National Recreation Area,Lands,Curecanti,-107.167339068999993,38.462851037999997
288,THRO,Theodore Roosevelt National Park,4/27/2017 0:00:00,ND,MW,1033824,National Park,Lands,Theodore Roosevelt,-103.459250804999996,46.953620966000003
289,DINO,Dinosaur National Monument,4/7/2017 0:00:00,CO,IM,169567,National Monument,Lands,Dinosaur,-108.839479118000000,40.479132802999999
290,CRLA,Crater Lake National Park,6/5/2017 0:00:00,OR,PW,1163670,National Park,Lands,Crater Lake,-122.132745646000004,42.941226393000001
291,APIS,Apostle Islands National Lakeshore,8/25/2017 0:00:00,WI,MW,1581059,National Lakeshore,Lands,Apostle Islands,-90.579550431000001,46.936723929000003
292,GLAC,Glacier National Park,8/18/2017 0:00:00,MT,IM,1803454,National Park,Lands,Glacier,-113.800940514000004,48.684384409000003
293,SAGU,Saguaro National Park,8/31/2017 0:00:00,AZ,IM,10683,National Park,Lands,Saguaro,-110.607905266000003,32.178726249000000
294,KEWE,Keweenaw National Historical Park,9/19/2017 0:00:00,MI,MW,1888937,National Historical Park,Lands,Keweenaw,-88.568705808999994,47.138158068000003
295,HOME,Homestead National Monument,12/14/2017 0:00:00,NE,MW,830099,National Monument,Lands,Homestead,-96.834025561999994,40.287964187000000
296,CHCU,Chaco Culture National Historical Park,12/11/2017 0:00:00,NM,IM,936878,National Historical Park,Lands,Chaco Culture,-107.948107747999998,36.044994860999999
297,GRKO,Grant-Kohrs Ranch National Historic Site,11/30/2017 0:00:00,MT,IM,806847,National Historic Site,Lands,Grant-Kohrs Ranch,-112.746692177000000,46.413754679999997
298,CAJO,Captain John Smith National Historic Trail,11/17/2017 0:00:00,MD,NE,2783287,National Historic Trail,Lands,Captain John Smith,-76.653353124000006,37.412180468000003
299,INDE,Independence National Historical Park,11/9/2017 0:00:00,PA,NE,1177725,National Historical Park,Lands,Independence,-75.149422455999996,39.951679714000001
300,JAZZ,New Orleans Jazz National Historical Park,11/8/2017 0:00:00,LA,SE,2035602,National Historical Park,Lands,New Orleans Jazz,-90.067496684000005,29.963031242000000
301,FRRI,Freedom Riders National Monument,10/24/2017 0:00:00,AL,SE,2783290,National Monument,Lands,Freedom Riders,-85.907971872999994,33.634972591999997
302,BICR,Birmingham Civil Rights National Monument,10/24/2017 0:00:00,AL,SE,2783289,National Monument,Lands,Birmingham Civil Rights,-86.814666504000002,33.515427885999998
303,NACA,National Capital Parks,8/13/2019 0:00:00,DC,NC,2738287,Park,Lands,National Capital Parks,-76.835220574000004,39.063192991000001
304,GRTE,Grand Teton National Park,3/30/2018 0:00:00,WY,IM,1597571,National Park,Lands,Grand Teton,-110.705466560000005,43.818535654000002
305,CHIC,Chickasaw National Recreation Area,3/29/2018 0:00:00,OK,IM,1101907,National Recreation Area,Lands,Chickasaw,-97.007017188000006,34.460522699999999
306,STRI,Stones River National Battlefield,3/29/2018 0:00:00,TN,SE,1888964,National Battlefield,Lands,Stones River,-86.434163502000004,35.873241677999999
307,GRSA,Great Sand Dunes National Preserve,3/28/2018 0:00:00,CO,IM,2733443,National Preserve,Lands,Great Sand Dunes,-105.496727492999995,37.833687537000003
308,GRSA,Great Sand Dunes National Park,3/28/2018 0:00:00,CO,IM,2733443,National Park,Lands,Great Sand Dunes,-105.628898657999997,37.776634049000002
309,BITH,Big Thicket National Preserve,3/27/2018 0:00:00,TX,IM,1888902,National Preserve,Lands,Big Thicket,-94.231620124000003,30.340875182000001
310,RIGR,Rio Grande Wild and Scenic River,3/22/2018 0:00:00,TX,IM,2766087,Wild and Scenic River,Lands,Rio Grande,-102.532712813000003,29.757748659000001
311,SAAN,San Antonio Missions National Historical Park,2/28/2018 0:00:00,TX,IM,1377039,National Historical Park,Lands,San Antonio Missions,-98.454667422000000,29.332730754000000
312,RIRA,River Raisin National Battlefield Park,2/27/2018 0:00:00,MI,MW,2733434,National Battlefield Park,Lands,River Raisin,-83.376179136999994,41.912964207999998
313,MIMA,Minute Man National Historical Park,2/22/2018 0:00:00,MA,NE,600051,National Historical Park,Lands,Minute Man,-71.296041449000001,42.453400559999999
314,BLCA,Black Canyon of the Gunnison National Park,2/15/2018 0:00:00,CO,IM,203271,National Park,Lands,Black Canyon of the Gunnison,-107.725735499999999,38.579075844999998
315,WACA,Walnut Canyon National Monument,2/12/2018 0:00:00,AZ,IM,35848,National Monument,Lands,Walnut Canyon,-111.495030365000005,35.161225090999999
316,NICO,Nicodemus National Historic Site,3/26/2018 0:00:00,KS,MW,2733440,National Historic Site,Lands,Nicodemus,-99.617841733999995,39.390360463999997
317,WUPA,Wupatki National Monument,2/6/2018 0:00:00,AZ,IM,38197,National Monument,Lands,Wupatki,-111.403636160999994,35.561178658999999
318,WABA,Washita Battlefield National Historic Site,1/24/2018 0:00:00,OK,IM,1946144,National Historic Site,Lands,Washita Battlefield,-99.704461692999999,35.620847851999997
319,KAWW,Katahdin Woods And Waters National Monument,1/23/2018 0:00:00,ME,NE,2783292,National Monument,Lands,Katahdin Woods And Waters,-68.736708132999993,45.947772249000003
320,ROLA,Ross Lake National Recreation Area,1/18/2018 0:00:00,WA,PW,1528419,National Recreation Area,Lands,Ross Lake,-121.172783275000000,48.705894604999997
321,BIBE,Big Bend National Park,1/9/2018 0:00:00,TX,IM,1377082,National Park,Lands,Big Bend,-103.229370306999996,29.297780404000001
322,CHOH,Chesapeake and Ohio Canal National Historical Park,7/2/2018 0:00:00,DC,NC,583731,National Historical Park,Lands,Chesapeake and Ohio Canal,-77.495869139999996,39.117880646000003
323,SARA,Saratoga National Historical Park,7/2/2018 0:00:00,NY,NE,964487,National Historical Park,Lands,Saratoga,-73.631431861999999,42.995207452000002
324,DEWA,Delaware Water Gap National Recreation Area,5/25/2018 0:00:00,PA,NE,1193711,National Recreation Area,Lands,Delaware Water Gap,-74.957289144000001,41.100296370999999
325,VAFO,Valley Forge National Historical Park,5/14/2018 0:00:00,PA,NE,1211947,National Historical Park,Lands,Valley Forge,-75.444623821999997,40.098899854000003
326,LAKE,Lake Mead National Recreation Area,5/10/2018 0:00:00,NV,PW,858265,National Recreation Area,Lands,Lake Mead,-114.651902949000004,35.716497054000001
327,MISS,Mississippi National River and Recreation Area,5/10/2018 0:00:00,MN,MW,1888944,National River and Recreation Area,Lands,Mississippi,-92.930111570999998,44.772237617999998
328,HSTR,Harry S Truman National Historic Site,5/10/2018 0:00:00,MO,MW,2463113,National Historic Site,Lands,Harry S Truman,-94.530576891999999,38.901192174000002
329,CHSC,Little Rock Central High School National Historic Site,5/8/2018 0:00:00,AR,MW,2091841,National Historic Site,Lands,Little Rock Central High School,-92.299751056999995,34.736954887000003
330,CEBR,Cedar Breaks National Monument,5/4/2018 0:00:00,UT,IM,1439558,National Monument,Lands,Cedar Breaks,-112.845157846999996,37.635410211000000
331,FODA,Fort Davis National Historic Site,4/27/2018 0:00:00,TX,IM,1357585,National Historic Site,Lands,Fort Davis,-103.896190411000006,30.599303810999999
332,FOMR,Fort Monroe National Monument,4/18/2018 0:00:00,VA,NE,2707739	,National Monument,Lands,Fort Monroe,-76.306954684000004,37.004200982000000
333,ARCH,Arches National Park,4/9/2018 0:00:00,UT,IM,1455716,National Park,Lands,Arches,-109.586366577999996,38.722618445000002
334,FOLA,Fort Laramie National Historic Site,4/9/2018 0:00:00,WY,IM,1597073,National Historic Site,Lands,Fort Laramie,-104.545909230000007,42.203016361000003
335,TUMA,Tumacacori National Historical Park,4/5/2018 0:00:00,AZ,IM,35519,National Historical Park,Lands,Tumacácori,-111.047762571999996,31.572832907999999
336,TUSK,Tule Springs Fossil Beds National Monument,9/26/2018 0:00:00,NV,PW,2767392,National Monument,Lands,Tule Springs Fossil Beds,-115.352367806000004,36.406059796000001
337,PETR,Petroglyph National Monument,8/24/2018 0:00:00,NM,IM,920404,National Monument,Lands,Petroglyph,-106.752256266000003,35.134259157999999
338,WICL,President William Jefferson Clinton Birthplace Home National Historic Site,7/24/2018 0:00:00,AR,MW,2733433,National Historic Site,Lands,President William Jefferson Clinton Birthplace Home,-93.596360735000005,33.667620603000003
339,FOUS,Fort Union Trading Post National Historic Site,7/24/2018 0:00:00,ND,MW,771520,National Historic Site,Lands,Fort Union Trading Post,-104.038078748000004,47.998986584000001
340,GRCA,Grand Canyon National Park,7/25/2018 0:00:00,AZ,IM,23866,National Park,Lands,Grand Canyon,-112.185254088999997,36.186720303000001
341,PAIS,Padre Island National Seashore,7/26/2018 0:00:00,TX,IM,1383785,National Seashore,Lands,Padre Island,-97.341067791000000,26.705806709000001
342,MEVE,Mesa Verde National Park,7/18/2018 0:00:00,CO,IM,179042,National Park,Lands,Mesa Verde,-108.462393652000003,37.239083243000003
343,CUIS,Cumberland Island National Seashore,10/16/2018 0:00:00,GA,SE,325829,National Seashore,Lands,Cumberland Island,-81.451742179999997,30.857265287000001
344,KEMO,Kennesaw Mountain National Battlefield Park,10/18/2018 0:00:00,GA,SE,310345,National Battlefield Park,Lands,Kennesaw Mountain,-84.578925808999998,33.978060829999997
345,SHIL,Shiloh National Battlefield,11/1/2018 0:00:00,MS,SE,1270094,National Battlefield,Lands,Shiloh,-88.340486114000001,35.136600309999999
346,OZAR,Ozark National Scenic Riverway,11/19/2018 0:00:00,MO,MW,751466,National Scenic Riverway,Lands,Ozark,-91.196025958000007,37.147187133999999
347,FILA,First Ladies National Historic Site,11/20/2018 0:00:00,OH,MW,2035610,National Historic Site,Lands,First Ladies,-81.375932640000002,40.796622173999999
348,WICR,Wilson's Creek National Battlefield,11/29/2018 0:00:00,MO,MW,735922,National Battlefield,Lands,Wilson's Creek,-93.409675371999995,37.099821425000002
349,GWCA,George Washington Carver National Monument,11/30/2018 0:00:00,MO,MW,718402,National Monument,Lands,George Washington Carver,-94.355523543999993,36.986641798000001
350,HAVO,Hawai'i Volcanoes National Park,9/9/2019 0:00:00,HI,PW,365210,National Park,Lands,Hawaii Volcanoes,-155.602855102999996,19.377633517000000
351,CANE,Camp Nelson National Monument,12/6/2018 0:00:00,KY,SE,2795910,National Monument,Lands,Camp Nelson,-84.598168306999995,37.797018049999998
352,SACN,Saint Croix National Scenic Riverway,2/7/2019 0:00:00,WI,MW,1888958,National Scenic Riverway,Lands,Saint Croix,-91.578484351000000,45.980215338999997
353,PIRO,Pictured Rocks National Lakeshore,2/13/2019 0:00:00,MI,MW,634820,National Lakeshore,Lands,Pictured Rocks,-86.315938927000005,46.563832064000003
354,MNRR,Missouri National Recreation River,3/7/2019 0:00:00,SD,MW,2733411,National Recreation River,Lands,Missouri,-97.070356992000001,42.766758181000000
355,VALL,Valles Caldera National Preserve,3/7/2019 0:00:00,NM,IM,2035517,National Preserve,Lands,Valles Caldera,-106.519615158999997,35.916824677999998
356,REER,Reconstruction Era National Monument,3/22/2019 0:00:00,SC,SE,2783288,National Monument,Lands,Reconstruction Era,-80.578396440999995,32.388348622000002
357,CUVA,Cuyahoga Valley National Park,3/21/2019 0:00:00,OH,MW,1066328,National Park,Lands,Cuyahoga Valley,-81.569054811000001,41.261334161999997
358,DENA,Denali National Preserve,3/21/2019 0:00:00,AK,AK,2760439,National Preserve,Lands,Denali,-152.439742967000001,63.478031987999998
359,WRST,Wrangell-St. Elias National Park,3/21/2019 0:00:00,AK,AK,1416055,National Park,Lands,Wrangell - St Elias,-142.131988911999997,60.694315142000001
360,WRST,Wrangell-St. Elias National Preserve,3/21/2019 0:00:00,AK,AK,1416055,National Preserve,Lands,Wrangell - St Elias,-142.576044634999988,62.237553484999999
361,GLBA,Glacier Bay National Park,3/21/2019 0:00:00,AK,AK,1416041,National Park,Lands,Glacier Bay,-136.813115595999989,58.794777564999997
362,GLBA,Glacier Bay National Preserve,3/21/2019 0:00:00,AK,AK,1416041,National Preserve,Lands,Glacier Bay,-138.351441504999997,59.131376721999999
363,KATM,Katmai National Park,3/21/2019 0:00:00,AK,AK,1416045,National Park,Lands,Katmai,-154.977843740999987,58.565864013000002
